tower_id,date,rain_intensity,wind_speed,temperature,frequency,voltage,overload_current_pct,freq_anomaly,volt_anomaly,anomaly_chances,days_since_maintenance,faulty,region,region_risk_score,tower_age_years,corrosion_level,last_maintenance,x,y,distance_from_substation
T1,2024-05-01,28,35,7,49.15395981965759,211.59005811655072,135,1,0,1,-67,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-02,5,27,22,49.43688087443367,216.66039791481464,111,1,0,1,-66,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-03,91,88,33,50.81365688309151,210.8852899753854,76,1,0,1,-65,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-04,69,71,21,49.83482200629756,208.8843124188292,100,0,1,1,-64,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-05,23,78,26,50.037581243486734,228.1207583558071,111,0,0,0,-63,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-06,55,80,43,50.953229911665304,216.44148053272926,136,1,0,1,-62,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-07,96,0,13,50.36141090310954,221.23738333268545,139,0,0,0,-61,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-08,37,23,-1,50.26461166118716,225.34118843043578,60,0,0,0,-60,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-09,15,96,3,49.64156012994347,207.46074041599417,142,0,1,1,-59,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-10,89,66,13,49.697331974583456,203.84706204365682,82,0,1,1,-58,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-11,38,81,34,49.27504188829199,213.64265404201035,138,1,0,1,-57,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-12,6,15,20,50.96433668665887,220.66543565084058,51,1,0,1,-56,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-13,11,68,31,50.76527268637868,207.54828433365518,148,1,1,2,-55,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-14,53,119,27,50.28406329230857,203.36559859980196,121,0,1,1,-54,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-15,83,98,42,49.202943085732066,226.54007076432222,142,1,0,1,-53,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-16,34,79,35,49.35185050535469,200.72301454462084,63,1,1,2,-52,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-17,19,119,2,50.69844682098836,226.30451569201372,82,1,0,1,-51,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-18,21,109,24,50.94602110950489,215.7239089866704,103,1,0,1,-50,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-19,26,97,15,50.005274186210386,223.07615538505436,113,0,0,0,-49,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-20,3,34,43,49.08720754350887,239.78202043189364,79,1,1,2,-48,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-21,5,98,35,50.906143694047906,213.23001218682055,95,1,0,1,-47,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-22,86,32,-3,49.338985493372185,222.272050498334,144,1,0,1,-46,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-23,66,103,40,49.194352987541535,224.6002890679668,135,1,0,1,-45,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-24,89,16,34,50.39403148199054,228.09936335948436,97,0,0,0,-44,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-25,41,118,20,50.62022678935836,234.68289274320415,62,1,1,2,-43,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-26,15,13,6,50.77323429790132,201.1046708749482,147,1,1,2,-42,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-27,86,62,16,49.656305334949465,206.20166466910976,111,0,1,1,-41,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-28,51,41,0,49.60653102934644,221.48329708786622,146,0,0,0,-40,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-29,59,107,38,50.245780951638004,203.41389859975072,145,0,1,1,-39,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-30,51,15,7,50.939073734228316,228.58380416719808,68,1,0,1,-38,0,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-05-31,62,18,22,50.48808528599823,210.03442109386646,139,0,0,0,-37,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
T1,2024-06-01,0,110,28,49.47957471831481,203.75493160325166,138,1,1,2,-36,1,North,8,33,14,2024-07-07,20,82,43.86342439892262
